gene	amplitude	phase	mean	r2	p_value
ANGPTL4	-0.275707031861415	0.5456751127367263	0.9595510838240606	0.5082632978050314	0.04100122283606822
ANKDD1B	0.12829936972459663	0.2107577672692387	0.09578799076206433	0.6824267284940125	0.005731888628712323
ANKMY2	-0.10830748556863488	0.6449200025210393	3.2003850872937916	0.3360415288109938	0.15835585417548237
ANKRA2	-0.15559500302304677	-0.49287605035465104	2.990921516357702	0.3169171052282842	0.179941089597499
ANKRD1	-0.23901730351984452	0.27655569385082573	6.870166608154926	0.38637544921392086	0.11106117714821528
ANKRD18A	-0.13807375416223894	-0.4635313977775342	2.064078574941637	0.3553283918384642	0.13868307027580595
ANKRD24	-0.16904420218104937	0.01406900170974434	0.9294879732603764	0.555759830803019	0.025958537242828483
ANKRD30B	0.15064187278842733	0.362171642498037	0.6393097197516918	0.31448893004366263	0.18283743739111946
ANKRD36C	0.11766801195749436	-1.5587246504154628	1.5907447702917938	0.4379472321256106	0.07481641754680513
ANKRD44	0.18323778199994373	1.6885588249056047	1.8675502153603736	0.4498315783910958	0.06795641607558423
ANKRD54,MIR658	-1.0806949386883034	0.8795904639578918	7.127364731134614	0.33974668679581765	0.15441790336088757
ANKRD61	-0.25017199598981016	-0.7623358541287832	2.120238918514786	0.47910851527963016	0.053132794779433334
ANLN	0.18780399695638952	0.26629151334949347	6.013916882850185	0.4834672094990524	0.051161177877659836
ANO1	0.11262307550632182	0.9363068889860497	0.32585444303337974	0.3469630923931244	0.1469669804035516
ANO2	0.27905504025482664	-0.4248974664749262	2.0549067630332027	0.6178864819271158	0.013178494789562567
ANO5	0.135493093236322	0.2302252247565723	1.831475649077813	0.47038795305037484	0.057254595266510555
ANOS1	0.10878454500107788	-0.17244729159674485	2.8241429464178243	0.579566980781637	0.020259824287901962
ANP32E	0.11203159369866571	0.12919892252181422	5.78166015108394	0.3721199210301167	0.12315304914586389
ANTXR2	0.18944524202450888	-1.4718043193973818	3.5343812435477617	0.37454400941688615	0.12102787397477655
ANXA2P1	0.35452741675763855	-1.1607474102371422	0.8758229573513115	0.32984897778634914	0.1651114075441743
ANXA3	0.3072675879965985	-0.40963040978703413	3.0240232420231252	0.42202943462440323	0.08483513327227232
AOC3	0.2005450512791136	-0.24120150005945645	1.0660900106136797	0.31796408181584956	0.17870331532110661
AP4B1	-0.12291924364309804	-0.4943516965887019	3.1922307814983784	0.4498029051141291	0.06797235519266764
APBA3	-0.17889575542965538	0.33393978886295117	2.9414492749154197	0.44000604804481025	0.07359105254931797
APLP1	-0.12248635392042483	0.10819549493550985	4.212018474699719	0.3814947499162751	0.11509203176235783
APOA1	-0.1538926966406979	0.8124018123041508	0.08517030842622707	0.42246296816654605	0.08454915361556825
APOBEC3B-AS1	0.17938314137202496	-0.020445455363806597	1.1689721019375294	0.32905498447388837	0.16599354075604444
APOBEC3C	0.14630399862161517	-1.717652958799478	5.565597895934635	0.531122723163492	0.03309530115101511
APOBEC3F	0.16642541758029022	1.1168993311834592	3.1762898970651734	0.4815590365933208	0.052017190334835095
APOL4	0.15220523487592735	1.0746994167797337	1.6517623688765561	0.30212659616530346	0.1981503820225704
APOM	0.15915510639609348	0.7863837969846104	1.3554532882035664	0.5294488923540134	0.03363028906437171
APRT	-0.11441020107695835	-0.030398868974692492	7.164930423172955	0.4168419906523264	0.08831573782796487
AQP7	-0.25908222357111393	-0.26526115852960813	1.387498755689512	0.3272209058690625	0.16804523215076594
AQR	0.1160848780138703	-0.39428494931023433	3.2090759483843487	0.36675418063134135	0.1279603710789491
ARF4-AS1	0.5021912551730515	0.6095363612802517	2.143894695692964	0.4827067570804401	0.05150099561346577
ARG2	-0.13355967339639332	-0.6706184339896716	4.345047351478009	0.5175249163367052	0.03763890717642149
ARHGAP11A,ARHGAP11B	0.14606337126576846	0.05485234105283647	4.01964690575243	0.45371720742233945	0.06582317757587397
ARHGAP25	0.219828546990562	-1.778805674261357	1.379319861916356	0.413463691312994	0.09064149447712533
ARHGEF10	0.11307889032734196	-0.6105838341367792	1.9534188128775143	0.5559418857758096	0.02591070001749396
ARHGEF16	-0.2163362200303407	0.10620130104087448	1.0830525496303907	0.36866863107124015	0.12622871432860472
ARHGEF28	0.10683162264228897	-1.6216176789753918	3.4498903905953866	0.5086356414699075	0.04086170004184686
ARHGEF35	0.1282288767752641	0.4116730841182577	0.17055604820507347	0.37051880135367943	0.12457257280633893
ARHGEF37	-0.10288159301227516	-0.7182483215183905	0.30879652168007593	0.4927781007454801	0.04714015232608981
ARHGEF40	0.13645386830776876	1.5086555906950583	5.246300058635257	0.3070676138433296	0.19191497733414598
ARHGEF6	0.12332876439776792	1.801370801549132	0.6004728224734689	0.42715249653525833	0.08150337843814437
ARID5B	-0.14780823007555058	-0.6511929035131466	4.315067112641785	0.6160166060658339	0.013471190979033265
ARL2,ARL2-SNX15,SNX15	-0.12329114764343796	0.39488871714775686	6.819557294277975	0.3388836271062805	0.1553283066529525
ARL4A	0.15989454725459296	-1.026509135617777	3.6123078162839426	0.4961994620138458	0.04572606413697444
ARL6	0.10324764415997012	0.423917853958872	2.9451809104908357	0.40182407757989447	0.09902165390926743
ARL6IP1	0.18391225193064165	0.17046668098139733	6.099426809106162	0.314457317031535	0.18287538322436014
ARL9	0.32097199190476117	0.7567227070733927	0.3462477215211599	0.7007724765696439	0.004385376869616153
ARMC7	0.2078300090263348	-0.057162844454072284	3.9766443518982464	0.44939363115854425	0.0682001826070574
ARMT1	0.11022750761135082	1.0123854365938678	3.932108912201355	0.5587746628631574	0.025175145908630014
ARNTL	-0.3966836592358891	-0.19207021683651948	3.0569539999442967	0.8481152210949008	0.00020740257305862375
ARPC4,ARPC4-TTLL3,TTLL3	-0.10100005064889445	0.24046619239997727	6.7076284784852405	0.6389000543668337	0.010217000242278784
ARRDC1	-0.16565941158396374	0.21341888533730674	4.533640642820722	0.594723973480382	0.017174302779538242
ARRDC3	0.12225825950601323	0.4197117820228394	3.821890081784087	0.38893645130290955	0.10899051390971781
ARSA	-0.16612619504845774	0.44733316371557147	4.519996029457285	0.3363919790274762	0.15798007657094926
ARSI	0.15769058011591722	0.6948019279740395	0.9974992813946317	0.31095563794242476	0.18711660365263794
ARV1	0.3024643227531256	-0.017499304843528588	2.9031055648636674	0.700159103627972	0.004425974463797666
ASAH2B	0.43715228611998885	-1.8218083287922215	1.31692037939167	0.36072778121721416	0.1335322729707078
ASAP1-IT2	-0.1869978937771654	-0.7266639420109916	0.9736097182185942	0.32065395797336205	0.17555359308121243
ASB14	0.19965218180349875	-0.16503291697866243	1.6916939188326712	0.5002741303162749	0.044085243724717116
ASB16-AS1	0.18196987436627693	-0.3654004194179352	3.458947574835757	0.37139371682046185	0.12379532076186983
ASB9	-0.2288317346116806	-0.17808093995200797	0.4181100171853925	0.4021971117885311	0.09874407373185357
ASPHD1	-0.1847240389441587	1.0178094098135706	3.610622933752182	0.3358052146420971	0.15860963919386994
ASPM	0.25200534429798016	0.28074373868081676	3.249397551736803	0.5770110202851796	0.020820000572141395
ASPRV1,PCBP1-AS1	-0.19754838388325	-0.8758957451149368	1.3643250319726836	0.6173262234804698	0.013265669117328405
ATAD3B	0.17621952421318388	0.4834246360079178	3.0846364462240583	0.6259616922102202	0.011970777971840874
ATF5,MIR4751	2.208428764102197	0.7101183917561628	5.840409011790291	0.544201735856831	0.029139158178900004
ATL2	0.10741109447814452	-1.3641775648332748	4.756942270582289	0.39413849792805933	0.10487696417875148
ATOH7	-0.15740895839810753	-0.6178484088997693	0.14304233261033475	0.5066851200056743	0.04159670874553534
ATP10D	-0.10857428209069488	0.4524868751983423	3.063524905779154	0.6306894205085076	0.011304799651521313
ATP2A1-AS1	0.340669487538384	0.17875531159414088	3.1189776426882174	0.3347436689399297	0.1597535704717603
ATP2A3	-0.15686002250775818	-0.22476652184465756	1.7388384555106269	0.40289765014075574	0.09822442868693582
ATP2B4	0.10968625084573598	1.5910825318702626	3.3401499377948705	0.4941512452647593	0.04656858944937192
ATP2C2	-0.13627969770486095	-0.39298782872789095	0.37893422019296874	0.35453621573918936	0.1394515864568594
ATP5I	-0.19402606489813434	0.6143377755115182	8.32748551079659	0.40016134739451537	0.10026630575077455
ATP6V0E2-AS1	0.15833957418594596	1.9637854823820164	0.39326931159570766	0.6157571765154608	0.01351219618326871
ATP8B1	0.11905946102089186	1.7661329413435836	0.4713405693651393	0.5782894970246588	0.02053831823889285
ATRN	0.11930738412609757	1.2899173166926228	3.7356464926591784	0.6109646408178167	0.014287322286293036
AUH	-0.13253301181612198	-0.12616669156604574	3.5821846781749858	0.3236577199077928	0.17208753656230547
AURKA	0.16585707012317188	0.23256406424253998	4.905449049551591	0.3916376042206223	0.10683919984953993
AVPI1	0.20532882880917286	-0.145178659079141	3.29805497048792	0.4072953210102255	0.0950107181277674
B3GAT2	0.19011250724891005	1.644330097255555	0.9145074476156532	0.36096462337758695	0.13330979328748682
