gene	0	4	8	12	16	20	24	28	32	36	40	44
SZRD1	80.9879	67.4787	66.5449	73.3433	62.4955	68.2306	65.5646	63.2029	63.4119	66.7215	62.5685	61.4988
NECAP2	33.6384	24.3374	31.8805	33.9855	30.7519	32.2292	28.8181	27.4772	30.4345	36.9783	29.3857	27.5576
FAM231B	0.166106	0.65782	0.280641	0.0	0.208646	0.513714	0.0	0.112713	0.0	0.379275	0.209336	0.516973
MIR3675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MST1P2	0.454061	0.599399	0.447505	0.397414	0.570348	0.585114	0.0	0.359461	0.619121	0.40319	0.572236	0.863611
FAM231C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR3675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNU1-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNU1-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CROCC	4.62114	5.61076	6.40992	4.36562	5.96587	4.21254	4.92096	6.61989	4.60073	4.23367	5.05092	4.97171
PADI1	0.151562	0.200074	0.0426781	0.0758019	0.190377	0.0390612	0.0	0.0342814	0.0885674	0.0	0.0	0.052412
PADI3	0.0616777	0.244259	0.104207	0.185084	0.0	0.0476876	0.114409	0.0	0.180212	0.187775	0.0777301	0.191961
MIR3972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PADI4	0.0	0.0	0.0	0.0669931	0.0	0.0	0.0	0.0	0.15655	0.0679668	0.0	0.0
PADI6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF10L	6.35257	6.16697	6.48364	6.05211	5.25102	6.33697	5.85593	5.01719	4.69091	6.04005	4.94779	7.01011
ACTL8	0.0	0.0	0.187659	0.0	0.0	0.0	0.0	0.0	0.0	0.084538	0.0	0.0
LOC101927876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGSF21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHDC7A	0.0379243	0.0500633	0.0640744	0.0569022	0.0238184	0.0	0.105522	0.0514681	0.0443233	0.0577293	0.0477945	0.0
PAX7	2.50473	2.60332	3.48277	2.43076	3.4284	2.72439	2.5759	2.2049	2.59613	2.78972	2.59841	3.99025
MRTO4	40.3852	37.2243	37.6479	36.2366	35.7554	36.383	34.0736	32.7157	32.6445	34.2582	30.829	36.1755
PQLC2	13.3682	12.1484	13.7933	15.6848	12.8234	14.5905	10.8354	13.7678	13.3888	11.3488	12.3244	14.8014
MINOS1,MINOS1-NBL1,NBL1	94.0429	81.5249	92.9534	99.4826	86.5574	100.285	89.3778	95.5594	88.2575	103.927	99.1118	89.8558
RPS14P3	10.1601	5.36489	6.3759	9.79998	7.83962	8.30443	7.00014	8.27315	8.14248	10.6052	7.31681	10.2393
HTR6	0.0	0.0	0.0	0.0	0.0363036	0.0	0.107223	0.0	0.0337784	0.043995	0.0	0.0
OTUD3	8.60441	8.62479	8.45143	7.13342	8.81129	8.20876	8.11564	8.27305	7.84045	8.28049	8.54638	6.95968
