tracking_id	DMSO_CT00_0	DMSO_CT24_0	DMSO_CT04_0	DMSO_CT28_0	DMSO_CT08_0	DMSO_CT32_0	DMSO_CT12_0	DMSO_CT36_0	DMSO_CT16_0	DMSO_CT40_0	DMSO_CT20_0	DMSO_CT44_0
XLOC_004798	0.386489	0.143384	1.22448	0.262257	0.326493	0.271021	0.579894	0.176497	0.388377	0.292246	0.537882	0.240575
XLOC_004799	44.2608	44.1476	40.3033	49.539	44.5972	43.8431	44.281	46.106	46.2019	47.6795	43.711	45.1484
XLOC_004800	2.65771	4.43693	3.85924	2.79531	2.86256	2.56257	2.74152	2.12395	2.67069	2.30272	2.51722	2.48149
XLOC_004801	24.6061	23.5202	19.887	20.7859	26.3012	24.6497	29.1965	21.0213	22.2348	24.0487	22.9074	20.3177
XLOC_004802	31.9217	30.8553	29.2661	33.9274	30.2909	28.5626	32.1753	29.063	31.497	32.6515	30.8464	30.1739
XLOC_004803	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004804	29.6957	28.1704	27.4257	28.3485	27.6613	24.875	29.6475	29.219	25.7419	28.4596	26.3146	28.6601
XLOC_004805	33.3621	29.9007	30.7985	35.3491	32.1959	32.5795	34.7017	35.112	34.3384	35.3266	36.845	33.4526
XLOC_004806	73.2957	61.6302	69.3775	62.1697	63.2786	71.5426	67.8273	51.1884	63.2328	62.9345	71.4606	79.1732
XLOC_004807	75.4956	140.041	199.321	76.8428	127.552	352.936	198.231	229.842	189.661	214.074	145.928	274.127
XLOC_004808	0	0	0	0	0	1878.57	0	0	504.752	1519.27	0	833.767
XLOC_004809	662.017	0	0	449.221	1118.5	773.719	993.301	503.869	1663.13	1251.47	511.855	1373.6
XLOC_004810	0	1031.3	2935.72	1509.05	3757.33	1949.34	0	3385.25	698.358	2102.01	859.726	1153.57
XLOC_004811	1297.54	401.145	1141.91	0	1826.86	758.236	0	329.191	543.281	545.079	334.408	897.411
XLOC_004812	0	1026.41	0	375.472	934.876	646.697	0	421.149	347.522	697.344	427.823	0
XLOC_004813	3027.59	802.291	0	1467.44	1096.12	758.236	0	2304.34	1086.56	1907.78	334.408	2692.23
XLOC_004814	0	4958.94	0	1814.04	1505.57	1562.21	0	1356.48	2798.34	1684.56	688.989	0
XLOC_004815	0	0	0	0	0	0.0821307	0.0527197	0	0	0	0.108667	0
XLOC_004816	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004817	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004818	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004819	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004820	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004821	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004822	0	0	0	0	0	0.598823	0.15375	0.155985	0.257434	0.129141	0.158457	0
XLOC_004823	13.5146	13.3578	12.0499	13.0059	11.3732	12.1669	12.3041	13.1861	13.0437	12.6037	13.3676	12.7761
XLOC_004824	13.3466	15.267	12.5138	14.6066	12.3734	15.1587	12.041	12.7109	13.3903	14.0816	13.8913	15.6215
XLOC_004825	0.996917	1.42249	2.53079	2.49774	2.1378	1.74769	1.8985	2.15956	1.83018	2.02953	1.36371	3.02316
XLOC_004826	15.5556	13.6169	12.9207	16.9598	14.6173	18.1802	16.6525	16.0964	14.4899	17.1811	13.5137	22.847
XLOC_004827	18.0303	28.0363	24.5081	20.699	23.8669	22.2662	23.0218	23.8194	23.3149	25.0201	24.8065	25.0051
XLOC_004828	385.012	324.825	362.103	348.978	377.467	282.677	428.674	335.615	336.287	302.593	394.546	307.495
XLOC_004829	48.065	48.5794	50.4303	55.4322	48.9156	45.8241	66.3839	52.6076	49.523	47.2604	53.6869	45.6149
XLOC_004830	175.267	168.463	171.759	182.935	188.779	179.381	215.604	208.991	163.435	195.426	195.101	192.093
XLOC_004831	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004832	11.1862	12.1964	11.612	12.5075	11.9673	10.6522	12.4213	12.5476	12.3537	10.4677	10.3704	11.9988
XLOC_004833	0.0901752	0	0.119039	0.183627	0.076177	0.210857	0.270698	0.411965	0.453268	0.341069	0.20923	0.0935512
XLOC_004834	0.292316	0.108443	0.569673	0.674418	0.395106	0.136655	0.404671	0.711964	0.271022	0.475859	0.250238	0.391731
XLOC_004835	111.408	91.5877	91.0312	85.849	89.7198	96.7907	103.494	89.696	101.582	89.301	94.9569	104.388
XLOC_004836	18.1577	17.4356	20.3046	19.7739	18.0464	17.2465	20.6215	16.7095	18.4514	17.0821	19.5254	16.707
XLOC_004837	32.3627	26.8621	31.5967	29.9111	29.5926	24.7487	34.8421	30.5565	31.7985	28.7023	30.0647	26.9683
XLOC_004838	1.32156	1.29782	0.974907	1.37152	0.952233	1.43098	0.991445	0.917103	1.46472	1.32261	1.0819	1.85493
XLOC_004839	24.0904	17.0571	22.2457	17.5681	21.7674	17.6399	25.783	17.1513	24.4597	16.8068	21.4326	15.8425
XLOC_004840	0	0.172766	0.491808	0.189602	0.393407	0.163282	0.419245	0.283573	0.292483	0.23476	0.576108	0.386506
XLOC_004841	7.66737	7.41568	8.46746	7.63212	8.24135	8.05452	8.03507	7.24357	8.4693	7.80175	7.3353	9.06866
XLOC_004842	0	0	0	0	0	0	0	0	543.281	0	0	0
XLOC_004843	0	0	0	0	0	0	0	0	0	0	562.849	0
XLOC_004844	0	0	0	0	0	0	0.254273	0	0	0	0	0
XLOC_004845	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004846	0.210443	0.176341	0.277803	0.387056	0.711141	0.860293	0.142637	0.153297	0.198259	0.464148	0.24407	0.873335
XLOC_004847	0.370613	0	0.0978479	0	0.125233	0	0.0556073	0.0564155	0	0	0	0
XLOC_004848	40.7353	35.1903	35.03	37.5398	33.6909	38.2229	33.8779	35.9058	34.5992	32.0246	37.6146	31.8764
XLOC_004849	0	0	0	0	0	0	1.00044	0.507431	0.837541	0.42014	0	0
XLOC_004850	9.42987	7.99201	7.72648	7.9433	8.92747	9.69085	13.173	10.0233	6.63723	8.60573	10.0565	6.40949
XLOC_004851	820.991	733.843	720.334	744.251	792.025	795.442	870.466	819.31	683.553	840.859	792.406	803.351
XLOC_004852	13.5252	12.7238	12.8963	16.0715	14.9206	12.7308	18.0483	14.9241	14.6317	15.0064	17.062	12.9567
XLOC_004853	0	0	0	0	0	0	1065.74	0	0	0	0	0
XLOC_004854	3.10328	2.5415	2.94566	2.29381	3.52578	3.82433	3.5567	2.59922	4.06636	2.59372	2.00159	2.49607
XLOC_004855	45.5062	52.5944	51.6534	71.1293	57.0568	58.1744	50.314	62.2191	55.3243	62.2331	50.7965	67.4922
XLOC_004856	1.48723	1.89663	2.45409	5.17205	2.04159	2.60726	2.092	4.10331	1.98487	2.81145	1.86857	2.70009
XLOC_004857	0.726284	0.376824	0	0.427681	0.573317	0.633112	0.711189	0.618457	1.37127	0.341374	0.33692	0.280996
XLOC_004858	31.3573	25.8911	26.25	26.3564	29.3047	27.2308	29.9179	27.1511	28.2715	23.0983	27.328	26.6938
XLOC_004859	48.3607	40.4919	43.6902	43.2577	43.8857	40.1584	48.2835	45.9106	43.6704	42.5722	43.0651	41.595
XLOC_004860	23.1038	19.7748	21.329	23.3524	23.6136	22.2101	26.106	23.3919	20.9864	22.8711	21.5021	25.2264
XLOC_004861	9.67606	8.01278	9.92205	9.80965	8.39297	9.20515	10.5429	8.52624	8.68153	8.51065	9.10668	8.84328
XLOC_004862	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004863	1011.81	939.078	901.447	967.186	970.058	967.332	1166.33	1011.28	907.265	956.194	1022.04	974.803
XLOC_004864	27.2084	26.0815	23.0099	27.1403	29.0186	27.1785	29.9552	28.5354	31.8533	24.4417	27.6103	27.4528
XLOC_004865	70.2036	54.7332	51.279	57.6045	65.4589	64.8771	72.6045	67.9168	61.5316	65.0749	67.1624	62.0346
XLOC_004866	35.9064	29.1196	32.0852	26.2445	27.5589	30.0724	46.9173	36.8333	45.1144	31.0918	31.438	33.0464
XLOC_004867	37.5615	41.6562	37.193	36.4793	35.6313	39.4586	44.7298	47.1429	36.5947	35.6019	36.6217	39.5149
XLOC_004868	14.8525	15.9965	11.9135	14.0783	13.4862	13.7405	16.3105	13.5452	14.1793	14.0561	14.2247	11.5566
XLOC_004869	7.1637	8.34054	7.14282	8.89464	7.33925	9.35219	10.8057	9.51266	9.47699	9.50836	11.3133	11.5432
